change,changePercent,close,date,high,low,open,volume,volumeChange,vwap
-1.1,-2.434,44.099998,2016-07-21 00:00:00,45.57,43.82,45.200001,22143500.0,-0.7167500096910493,44.49667
0.056,0.126,44.453999,2016-07-22 00:00:00,44.900002,43.776001,44.397999,12898500.0,0.4255461286659096,44.37667
1.548,3.482,46.001999,2016-07-25 00:00:00,46.278,44.273998,44.453999,22453500.0,-0.3092419825072886,45.518
0.364,0.799,45.902,2016-07-26 00:00:00,46.0,45.060001,45.537998,17150000.0,-0.1872620283835237,45.654
-0.17,-0.371,45.698002,2016-07-27 00:00:00,46.672001,45.383999,45.868,14445000.0,-0.1942457938902898,45.918
0.532,1.167,46.122002,2016-07-28 00:00:00,46.152,45.32,45.59,12095500.0,0.212224827406539,45.86467
0.818,1.773,46.958,2016-07-29 00:00:00,47.056,46.048,46.139999,15354000.0,0.23541568109951946,46.68733
-1.098,-2.331,46.001999,2016-08-01 00:00:00,47.326,45.875999,47.099998,20081500.0,-0.020816388775925173,46.40133
-0.434,-0.946,45.439999,2016-08-02 00:00:00,45.973999,44.279999,45.874001,19672000.0,-0.011986213282576264,45.23133
-0.316,-0.695,45.158001,2016-08-03 00:00:00,45.939999,44.841999,45.473999,19439000.0,0.06250301422715215,45.31333
0.984,2.18,46.122002,2016-08-04 00:00:00,46.172001,44.41,45.138,20735000.0,-0.29383501809559465,45.568
0.006,0.013,46.006001,2016-08-05 00:00:00,46.400002,45.48,46.0,16026000.0,-0.4159745538080933,45.962
-0.368,-0.807,45.231998,2016-08-08 00:00:00,45.919998,45.217999,45.599998,11318000.0,-0.02527402844460549,45.45666
0.452,0.996,45.816002,2016-08-09 00:00:00,46.307999,45.330002,45.363998,11039000.0,0.05580977633323354,45.818
-0.518,-1.135,45.130001,2016-08-10 00:00:00,45.973999,44.924,45.647999,11691500.0,-0.24318145568610772,45.34267
-0.252,-0.557,44.981998,2016-08-11 00:00:00,45.514,44.681999,45.234001,9404500.0,-0.03716570168183071,45.05933
0.04,0.089,45.122002,2016-08-12 00:00:00,45.330002,44.807999,45.082001,9067500.0,0.10853856363368235,45.08667
-0.086,-0.19,45.118,2016-08-15 00:00:00,45.900002,44.986,45.203999,10171500.0,0.10268625115786688,45.33467
-0.376,-0.834,44.722,2016-08-16 00:00:00,45.438,44.681999,45.098,11335500.0,-0.268591572939399,44.94733
-0.218,-0.486,44.647999,2016-08-17 00:00:00,44.966,44.560001,44.866001,8935500.0,-0.04234470691163605,44.72467
-0.062,-0.139,44.702,2016-08-18 00:00:00,45.132,44.458,44.764,8572500.0,-0.033142512805061766,44.764
0.292,0.653,45.0,2016-08-19 00:00:00,45.034,44.506001,44.708,8297500.0,0.19656257564754298,44.84667
-0.248,-0.553,44.585999,2016-08-22 00:00:00,45.021999,44.535999,44.834,10327500.0,0.5682844243792325,44.71467
0.104,0.232,44.967999,2016-08-23 00:00:00,45.698002,44.560001,44.863998,23922000.0,-0.8611273194071654,45.07533
-0.886,-1.951,44.523998,2016-08-24 00:00:00,45.43,44.444,45.41,12853500.0,-0.4585531914893617,44.79933
-0.43,-0.964,44.192001,2016-08-25 00:00:00,44.759998,44.153999,44.622002,8812500.0,0.21281822242072354,44.36867
-0.43,-0.968,43.998001,2016-08-26 00:00:00,44.571999,43.764,44.428001,11195000.0,0.31451489452897774,44.11133
-0.99,-2.248,43.040001,2016-08-29 00:00:00,44.080002,43.0,44.029999,16331500.0,-0.03073621761494525,43.37333
-0.954,-2.207,42.268002,2016-08-30 00:00:00,43.222,42.104,43.222,15844500.0,0.032839920647031895,42.53133
0.316,0.751,42.402,2016-08-31 00:00:00,42.52,41.73,42.085999,16382500.0,0.5875036194936486,42.21733
-1.648,-3.942,40.153999,2016-09-01 00:00:00,42.220001,40.099998,41.801998,39715500.0,-0.32885535517114467,40.82467
-0.91,-2.249,39.556,2016-09-02 00:00:00,40.639999,39.240002,40.466,29887000.0,-0.3614084635357354,39.812
0.762,1.914,40.566002,2016-09-06 00:00:00,40.650002,39.799999,39.804001,21953000.0,-0.20591062649344943,40.33867
-0.758,-1.844,40.341999,2016-09-07 00:00:00,41.299999,40.141998,41.099998,18204500.0,-0.07785902483791705,40.59467
-0.438,-1.097,39.472,2016-09-08 00:00:00,39.978001,39.271999,39.91,16889500.0,0.10090497737556561,39.574
-0.924,-2.321,38.894001,2016-09-09 00:00:00,39.984001,38.740002,39.818001,18785000.0,-0.011251076658053402,39.206
0.66,1.692,39.66,2016-09-12 00:00:00,40.273998,38.82,39.0,18576000.0,-0.03504764027414053,39.58467
-0.202,-0.513,39.209999,2016-09-13 00:00:00,39.698002,38.689999,39.411999,17947000.0,-0.5921046795298293,39.19933
0.132,0.337,39.282001,2016-09-14 00:00:00,39.584,38.972,39.150002,11272500.0,0.26735343819056284,39.27933
0.786,2.0,40.084,2016-09-15 00:00:00,40.504002,39.279999,39.298,15386000.0,0.009846193448741875,39.956
0.996,2.485,41.080002,2016-09-16 00:00:00,41.139999,39.799999,40.084,15539000.0,-0.3515111980865406,40.67333
-0.132,-0.319,41.268002,2016-09-19 00:00:00,41.886002,41.0,41.400002,11497500.0,0.04604853764779091,41.38467
-0.442,-1.068,40.928001,2016-09-20 00:00:00,41.549999,40.782001,41.369999,12052500.0,0.08467818492500474,41.08667
-0.23,-0.557,41.043999,2016-09-21 00:00:00,41.400002,40.312,41.273998,13167500.0,-0.10516597423307734,40.91867
0.006,0.015,41.285999,2016-09-22 00:00:00,41.456001,40.599998,41.279999,11914500.0,0.17978108219743907,41.114
0.292,0.709,41.490002,2016-09-23 00:00:00,42.035999,41.133999,41.198002,14526000.0,-0.21333110591379886,41.55333
0.498,1.206,41.798,2016-09-26 00:00:00,42.200001,41.299999,41.299999,11972000.0,0.2901695719198387,41.766
-0.768,-1.832,41.161999,2016-09-27 00:00:00,41.995998,40.922001,41.93,16866000.0,-0.6152078145949051,41.36
-0.248,-0.598,41.254002,2016-09-28 00:00:00,41.650002,41.051998,41.501999,10442000.0,0.2341767510084342,41.31867
-0.98,-2.383,40.139999,2016-09-29 00:00:00,41.466,40.116001,41.119999,13635000.0,-0.054402041526505046,40.574
0.364,0.9,40.806,2016-09-30 00:00:00,40.995998,39.91,40.442001,12931500.0,0.5689428157135952,40.57067
0.28,0.659,42.740002,2016-10-03 00:00:00,43.133999,41.650002,42.459999,29999500.0,-0.6941691373711704,42.508
-0.338,-0.793,42.282001,2016-10-04 00:00:00,42.664001,41.764,42.619999,17707500.0,-0.8862849533954728,42.23667
-0.756,-1.781,41.692001,2016-10-05 00:00:00,42.630001,41.624001,42.448002,9387500.0,0.6008206829102352,41.982
-0.292,-0.721,40.200001,2016-10-06 00:00:00,40.841999,40.042,40.492001,23517000.0,-0.3465216146578872,40.36133
-0.878,-2.184,39.321999,2016-10-07 00:00:00,40.264,39.16,40.200001,17465000.0,-0.05328227241202545,39.582
-0.08,-0.199,40.189999,2016-10-10 00:00:00,40.827999,39.931999,40.27,16581500.0,-0.42428276928362824,40.31667
-0.35,-0.867,40.02,2016-10-11 00:00:00,40.439999,39.661999,40.369999,11642000.0,-0.18150910843862586,40.04067
0.112,0.279,40.301998,2016-10-12 00:00:00,40.776001,40.084,40.189999,9853500.0,0.2100136294395895,40.38733
-0.052,-0.13,40.048,2016-10-13 00:00:00,40.18,39.41,40.099998,12473000.0,0.4157708611442891,39.87933
-0.83,-2.068,39.301998,2016-10-14 00:00:00,40.285999,39.259998,40.132,21349500.0,0.06240530510968138,39.616
-0.618,-1.568,38.792,2016-10-17 00:00:00,39.678001,38.400002,39.41,22770500.0,0.19829240383769034,38.95667
0.622,1.587,39.82,2016-10-18 00:00:00,39.894001,38.652,39.198002,28402500.0,0.1874785444558874,39.45533
0.764,1.912,40.712002,2016-10-19 00:00:00,41.332001,39.612,39.948002,34956000.0,-0.37814662224762957,40.552
-0.604,-1.494,39.82,2016-10-20 00:00:00,40.599998,39.41,40.424,25364500.0,-0.7234830468166067,39.94333
0.298,0.75,40.018002,2016-10-21 00:00:00,40.313999,39.481998,39.720001,14717000.0,-0.06970489896787324,39.938
0.352,0.876,40.551998,2016-10-24 00:00:00,40.790001,40.049999,40.200001,13758000.0,-0.12539877300613497,40.464
-0.112,-0.276,40.467999,2016-10-25 00:00:00,40.938,40.240002,40.580002,12225000.0,0.565935236472092,40.54867
0.248,0.617,40.448002,2016-10-26 00:00:00,40.638,40.02,40.200001,28164000.0,0.5698083811298563,40.36867
-1.466,-3.468,40.801998,2016-10-27 00:00:00,42.740002,40.330002,42.268002,65468500.0,-2.059204224200369,41.29067
