change,changePercent,close,date,high,low,open,volume,volumeChange,vwap
0.26,2.364,11.26,2020-07-06 00:00:00,11.36,11.0,11.0,2559400.0,-3.693563176233266,11.20667
-0.35,-3.043,11.15,2020-07-07 00:00:00,11.6,10.92,11.5,545300.0,-0.4619302949061662,11.22333
0.03,0.269,11.18,2020-07-08 00:00:00,11.32,11.02,11.15,373000.0,-0.2739071038251366,11.17333
-0.16,-1.406,11.22,2020-07-09 00:00:00,11.39,10.95,11.38,292800.0,-1.4379683597002497,11.18667
-0.03,-0.267,11.21,2020-07-10 00:00:00,11.24,11.03,11.24,120100.0,0.7697910676634081,11.16
-0.68,-5.792,11.06,2020-07-13 00:00:00,11.74,10.57,11.74,521700.0,-3.117600631412786,11.12333
0.23,2.136,11.0,2020-07-14 00:00:00,11.24,10.77,10.77,126700.0,0.15981432360742706,11.00333
0.06,0.549,10.99,2020-07-15 00:00:00,11.13,10.81,10.93,150800.0,0.9809352836319043,10.97667
0.24,2.005,12.21,2020-07-16 00:00:00,12.44,11.01,11.97,7909900.0,-1.5366878327240074,11.88667
0.1,0.82,12.3,2020-07-17 00:00:00,12.85,11.86,12.2,3118200.0,-2.194549738756275,12.33667
-0.76,-6.139,11.62,2020-07-20 00:00:00,12.55,11.23,12.38,976100.0,0.2323843976093111,11.8
0.6,5.172,12.2,2020-07-21 00:00:00,12.33,11.48,11.6,1271600.0,-1.389776357827476,12.00333
0.13,1.078,12.19,2020-07-22 00:00:00,12.3,11.8,12.06,532100.0,-0.1294841859477818,12.09667
-0.36,-2.973,11.75,2020-07-23 00:00:00,12.3,11.65,12.11,471100.0,0.02886002886002886,11.9
0.08,0.689,11.69,2020-07-24 00:00:00,12.15,11.44,11.61,485100.0,-0.6078886310904872,11.76
-0.33,-2.804,11.44,2020-07-27 00:00:00,11.78,11.27,11.77,301700.0,-0.20103503184713375,11.49667
-0.12,-1.043,11.38,2020-07-28 00:00:00,11.53,11.31,11.5,251200.0,0.2557037037037037,11.40667
-0.15,-1.316,11.25,2020-07-29 00:00:00,11.5,11.17,11.4,337500.0,0.266304347826087,11.30667
-0.24,-2.149,10.93,2020-07-30 00:00:00,11.34,10.9,11.17,460000.0,0.48695070265447243,11.05667
-0.4,-3.64,10.59,2020-07-31 00:00:00,11.14,10.48,10.99,896600.0,-0.12454534052426941,10.73667
-0.13,-1.221,10.52,2020-08-03 00:00:00,10.7,10.26,10.65,797300.0,-0.6870503597122302,10.49333
-0.02,-0.187,10.65,2020-08-04 00:00:00,10.85,10.52,10.67,472600.0,0.5448767334360555,10.67333
-0.17,-1.57,10.66,2020-08-05 00:00:00,10.83,10.48,10.83,1038400.0,-5.158956109134045,10.65667
-0.01,-0.093,10.79,2020-08-06 00:00:00,10.8,10.55,10.8,168600.0,0.7252281616688396,10.71333
-0.25,-2.304,10.6,2020-08-07 00:00:00,10.85,10.5,10.85,613600.0,-2.9107711918419374,10.65
0.14,1.321,10.74,2020-08-10 00:00:00,10.75,10.51,10.6,156900.0,0.5167847243609486,10.66667
0.1,0.943,10.71,2020-08-11 00:00:00,10.74,10.57,10.61,324700.0,0.7092065197922264,10.67333
0.25,2.347,10.9,2020-08-12 00:00:00,11.1,10.65,10.65,1116600.0,-2.38261132990003,10.88333
0.05,0.457,10.99,2020-08-13 00:00:00,11.09,10.9,10.94,330100.0,-1.6219221604447975,10.99333
-0.18,-1.629,10.87,2020-08-14 00:00:00,11.15,10.79,11.05,125900.0,0.2989977728285078,10.93667
0.14,1.302,10.89,2020-08-17 00:00:00,11.051,10.75,10.75,179600.0,0.46033653846153844,10.897
-0.11,-1.019,10.69,2020-08-18 00:00:00,10.92,10.66,10.8,332800.0,0.23335636950011518,10.75667
-0.4,-3.717,10.36,2020-08-19 00:00:00,10.83,10.35,10.76,434100.0,-1.7706683176216036,10.51333
0.18,1.736,10.55,2020-08-20 00:00:00,10.58,10.37,10.37,156677.0,0.30581745680106337,10.5
0.16,1.533,10.6,2020-08-21 00:00:00,10.79,10.42,10.44,225700.0,0.06270764119601328,10.60333
0.11,1.038,10.71,2020-08-24 00:00:00,10.74,10.52,10.6,240800.0,0.40572556762092793,10.65667
0.26,2.448,10.88,2020-08-25 00:00:00,10.97,10.62,10.62,405200.0,-0.025044270174550975,10.82333
-0.13,-1.182,10.87,2020-08-26 00:00:00,11.39,10.7,11.0,395300.0,0.42114511641528773,10.98667
-0.5,-4.472,10.68,2020-08-27 00:00:00,11.18,10.65,11.18,682900.0,-1.6885826771653543,10.83667
-0.13,-1.196,10.74,2020-08-28 00:00:00,10.88,10.65,10.87,254000.0,0.25073746312684364,10.75667
-0.12,-1.104,10.75,2020-08-31 00:00:00,11.2,10.67,10.87,339000.0,0.40306391970417327,10.87333
0.16,1.476,11.0,2020-09-01 00:00:00,11.62,10.74,10.84,567900.0,0.9876298495498694,11.12
0.37,2.711,14.02,2020-09-02 00:00:00,14.7,12.22,13.65,45908900.0,-5.555230316703316,13.64667
0.02,0.152,13.14,2020-09-03 00:00:00,13.77,12.8,13.12,7003400.0,-0.8298061347128599,13.23667
-0.61,-4.604,12.64,2020-09-04 00:00:00,13.42,12.0,13.25,3827400.0,-0.5556639434215339,12.68667
0.15,1.235,12.3,2020-09-08 00:00:00,12.6,12.05,12.15,2460300.0,0.35467540983606555,12.31667
0.33,2.629,12.88,2020-09-09 00:00:00,13.28,12.21,12.55,3812500.0,-0.15236972554709224,12.79
-0.89,-6.717,12.36,2020-09-10 00:00:00,13.25,12.24,13.25,3308400.0,-0.6765823747022753,12.61667
-0.53,-4.196,12.1,2020-09-11 00:00:00,12.63,12.02,12.63,1973300.0,0.15847157661307518,12.25
-0.08,-0.65,12.22,2020-09-14 00:00:00,12.69,12.2,12.3,2344900.0,-0.31080552294706243,12.37
-0.2,-1.581,12.45,2020-09-15 00:00:00,12.75,12.4,12.65,1788900.0,0.20341096317406598,12.53333
0.43,3.454,12.88,2020-09-16 00:00:00,13.15,12.447,12.45,2245700.0,-0.8405868371444963,12.82567
0.05,0.392,12.8,2020-09-17 00:00:00,13.115,12.51,12.75,1220100.0,-0.09691629955947137,12.80833
0.0,0.0,12.85,2020-09-18 00:00:00,13.1,12.51,12.85,1112300.0,0.17368694747789912,12.82
0.1,0.799,12.61,2020-09-21 00:00:00,12.7,12.31,12.51,1346100.0,0.07062966031483016,12.54
-0.61,-4.784,12.14,2020-09-22 00:00:00,12.75,12.1,12.75,1448400.0,0.35843373493975905,12.33
-0.77,-6.291,11.47,2020-09-23 00:00:00,12.25,11.04,12.24,2257600.0,0.036325607205361335,11.58667
0.47,4.234,11.57,2020-09-24 00:00:00,11.69,10.5,11.1,2342700.0,-1.5806345009914078,11.25333
0.38,3.287,11.94,2020-09-25 00:00:00,12.14,11.34,11.56,907800.0,-0.5659824046920822,11.80667
-0.16,-1.333,11.84,2020-09-28 00:00:00,12.0,11.66,12.0,579700.0,0.15433989788475566,11.83333
0.12,1.024,11.84,2020-09-29 00:00:00,12.01,11.7,11.72,685500.0,0.6446345256609642,11.85
0.35,2.964,12.16,2020-09-30 00:00:00,12.5,11.75,11.81,1929000.0,0.6421083879107219,12.13667
0.0,0.0,12.35,2020-10-01 00:00:00,12.77,12.055,12.35,5389900.0,-0.5817754952311078,12.39167
0.39,3.25,12.39,2020-10-02 00:00:00,12.97,11.96,12.0,3407500.0,-0.02155534236719031,12.44
-0.13,-1.041,12.36,2020-10-05 00:00:00,12.65,12.15,12.49,3335600.0,0.014156938081867888,12.38667
-0.75,-5.882,12.0,2020-10-06 00:00:00,13.0,11.81,12.75,3383500.0,-0.6365966914965657,12.27
-0.38,-3.069,12.0,2020-10-07 00:00:00,12.48,11.95,12.38,2067400.0,0.06061432206470375,12.14333
0.11,0.889,12.49,2020-10-08 00:00:00,12.6,12.01,12.38,2200800.0,0.7256954830990129,12.36667
0.6,4.615,13.6,2020-10-09 00:00:00,14.09,12.7,13.0,8023200.0,-0.8470463649339288,13.46333
0.05,0.36,13.95,2020-10-12 00:00:00,14.45,13.7,13.9,4343800.0,-1.1537012246516931,14.03333
-0.1,-0.714,13.9,2020-10-13 00:00:00,14.24,13.6,14.0,2016900.0,-0.9276498136289784,13.91333
-0.27,-1.915,13.83,2020-10-14 00:00:00,14.22,13.71,14.1,1046300.0,0.21366300916879602,13.92
0.22,1.62,13.8,2020-10-15 00:00:00,14.0,13.2,13.58,1330600.0,0.1778299555116164,13.66667
-0.34,-2.437,13.61,2020-10-16 00:00:00,13.98,13.26,13.95,1618400.0,0.1457827509764594,13.61667
-0.05,-0.36,13.85,2020-10-19 00:00:00,14.198,13.55,13.9,1894600.0,-0.31844119693806544,13.866
-0.71,-5.108,13.19,2020-10-20 00:00:00,13.99,13.05,13.9,1437000.0,0.40400647007589896,13.41
-0.7,-5.263,12.6,2020-10-21 00:00:00,13.33,12.4,13.3,2411100.0,-0.47296719408638277,12.77667
-0.01,-0.078,12.74,2020-10-22 00:00:00,12.87,12.09,12.75,1636900.0,-1.4279145654108574,12.56667
-0.33,-2.588,12.42,2020-10-23 00:00:00,12.754,12.26,12.75,674200.0,0.7253096479791395,12.478
-0.04,-0.322,12.4,2020-10-26 00:00:00,12.7,12.06,12.44,2454400.0,-0.8190172682131476,12.38667
-0.26,-2.117,12.02,2020-10-27 00:00:00,12.48,11.78,12.28,1349300.0,0.19545644266889273,12.09333
-0.45,-3.843,11.26,2020-10-28 00:00:00,11.85,11.085,11.71,1677100.0,-0.738287728026534,11.39833
-0.01,-0.088,11.29,2020-10-29 00:00:00,11.36,11.06,11.3,964800.0,0.5165121523427713,11.23667
0.38,3.408,11.53,2020-10-30 00:00:00,12.18,10.76,11.15,1995500.0,-0.3569291445668435,11.49
-0.34,-2.977,11.08,2020-11-02 00:00:00,11.62,10.93,11.42,1470600.0,-0.7726615236258437,11.21
0.32,2.888,11.4,2020-11-03 00:00:00,11.44,11.03,11.08,829600.0,0.17056588682263546,11.29
-0.2,-1.691,11.63,2020-11-04 00:00:00,12.08,11.58,11.83,1000200.0,0.5331621936989498,11.76333
0.39,3.242,12.42,2020-11-05 00:00:00,12.44,11.86,12.03,2142500.0,-0.2258267536331388,12.24
-0.2,-1.613,12.2,2020-11-06 00:00:00,12.84,12.03,12.4,1747800.0,-0.1255071157189774,12.35667
0.32,2.716,12.1,2020-11-09 00:00:00,12.19,11.25,11.78,1552900.0,-0.026846525160351783,11.84667
0.06,0.5,12.06,2020-11-10 00:00:00,12.09,11.62,12.0,1512300.0,-0.8107040229885057,11.92333
0.07,0.586,12.01,2020-11-11 00:00:00,12.1,11.75,11.94,835200.0,-0.07504183292573047,11.95333
0.06,0.502,12.01,2020-11-12 00:00:00,12.34,11.69,11.95,776900.0,0.5968135346930302,12.01333
0.64,5.311,12.69,2020-11-13 00:00:00,12.77,12.0,12.05,1926900.0,-0.125,12.48667
-0.13,-1.012,12.71,2020-11-16 00:00:00,13.08,12.36,12.84,1712800.0,0.27062130051526634,12.71667
0.49,3.846,13.23,2020-11-17 00:00:00,13.46,12.6,12.74,2348300.0,0.5422952481191283,13.09667
-0.1,-0.725,13.7,2020-11-18 00:00:00,14.289,13.42,13.8,5130600.0,-1.449909273230828,13.803
0.14,1.012,13.97,2020-11-19 00:00:00,13.97,13.101,13.83,2094200.0,-0.0991444916811001,13.68033
-0.25,-1.813,13.54,2020-11-20 00:00:00,14.29,13.31,13.79,1905300.0,0.1578412305516266,13.71333
-0.51,-3.696,13.29,2020-11-23 00:00:00,13.9,12.971,13.8,2262400.0,-0.2723693830493223,13.387
-0.4,-2.987,12.99,2020-11-24 00:00:00,13.43,12.91,13.39,1778100.0,-0.7516500837355925,13.11
-0.07,-0.536,12.98,2020-11-25 00:00:00,13.1,12.56,13.05,1015100.0,0.23670952703210768,12.88
-0.19,-1.435,13.05,2020-11-27 00:00:00,13.94,12.91,13.24,1329900.0,0.8193365212193664,13.3
1.5,10.714,15.5,2020-11-30 00:00:00,16.08,13.21,14.0,7361200.0,-0.4172779606846493,14.93
-0.76,-4.822,15.0,2020-12-01 00:00:00,16.73,14.32,15.76,5193900.0,-1.1884717481987106,15.35
0.85,5.732,15.68,2020-12-02 00:00:00,15.68,14.42,14.83,2373300.0,0.556060606060606,15.26
0.53,3.282,16.68,2020-12-03 00:00:00,17.68,16.02,16.15,5346000.0,-0.1530746500442163,16.79333
0.28,1.602,17.76,2020-12-04 00:00:00,18.25,16.57,17.48,4636300.0,-0.10141587874756497,17.52667
-0.15,-0.834,17.84,2020-12-07 00:00:00,18.6,17.110001,17.99,4209400.0,0.33589966080302913,17.85
1.3,7.108,19.59,2020-12-08 00:00:00,20.4,18.016001,18.290001,6338500.0,-0.2625739497639583,19.33533
-0.68,-3.482,18.85,2020-12-09 00:00:00,20.48,17.17,19.530001,5020300.0,-0.08100600762257489,18.83333
0.23,1.178,19.75,2020-12-10 00:00:00,21.27,19.1,19.52,4644100.0,-0.2613667227986311,20.04
-0.22,-1.116,19.5,2020-12-11 00:00:00,19.75,18.072001,19.719999,3681800.0,0.19166593483797312,19.10733
